prompt,label
"The general aim of my research is to understand the neural basis of psychiatric disorders. We focus on what makes someone vulnerable to the development of psychiatric disorders, on how various treatments exert their effect, and on the development of neuroimaging biomarkers that predict clinical outcome. To address these questions, we combine noninvasive neuroimaging techniques with psychological, pharmacological, and neurostimulation treatments, and with machine learning data analysis techniques. What are some specific examples of neuroimaging biomarkers developed by the author's research?",1
"Create a playlist for a one-hour guided meditation class that includes instrumental music, nature sounds, and soothing melodies with minimal lyrics to promote relaxation and inner peace. The playlist should start with calming sounds to set the ambiance, gradually transition into softer melodies, and end with a few minutes of complete silence to allow for reflection. It should not feature any sudden changes in volume or tempo to avoid disrupting the meditation practice. The class will focus on breathwork and visualization, so consider selecting music that will support these practices.",1
Provide an example of how a budget constraint can impact project management.,1
How do large tidal surges and storm surges differ in terms of impact on human settlements and infrastructure along the coastlines?,1
"Packaged in a transparent plastic bag with a screw 22mm in it. 20pcs for one inner box. Now accepting Alipay & PayPal; Alipay prefered! Items are shipped from China using Airmail, reach most of the countries within 15 to 25 business days. Our people will always keep you updated on the goods in transit in time and reply your inquiries and questions within 24 hours. We accept returns within 7 days. We ensure you that the products we provide to you are all of high quality and at a favorable price. We’ll be grateful to you if you can give us the FIVE STARS of Detailed Seller Ratings. If you have any questions and think that our product and service don’t worth FIVE STARS rate, please do contact us first before you rate us. If you’re interested in our products, please just feel free to Contact me! A: Package less than 2 Kg will be shipped by China Post Airmail which is free shipping to the 26 countries as following: United States; United Kingdom; Australia; Brazil; Canada; Italy; Turkey; Spain; Malaysia; France; Russia; Sweden; New Zealand; Norway; Switzerland; Japan; Thailand; Ireland; Israel; Belgium; Poland; South Korea; Austria; Germany; Denmark; Singapore. Q:I am a reseller, I would like to buy many pieces of your item, what’s the wholesale price? Can you provide more details about the product packaging, such as the dimensions of the plastic bag and the material of the screw?",1
How can smart building automation systems be used to improve the experience of building users?,1
"Provide the recipe for each option, specifying the ingredients and their quantities, cooking instructions, and necessary cooking tools. Ensure that the options are balanced and nutritious, with a variety of flavors and textures. Also, consider options that are quick and easy to make, as well as those that can be prepped in advance for busy mornings. Avoid including processed or unhealthy ingredients, such as refined grains or added sugars.",1
"Can you provide a list of the file formats that the program supports for exporting reports?
Generate according to: several file formats. Another command helps you to walk through the alignment and create an animation.
The program computes volumes of under and over-excavation by comparing project and measured cross-sections. Reports can be generated and printed or exported to Excel and other file formats.
Every project is compound of an horizontal and vertical alignment, Super elevation, templates and point files, supporting different formats.
The Powerful cross-section editor has tools for erasing, adding or moving points before drawing.",1
"Write a personal essay of at least 500 words that discusses the significance of setting and achieving goals in your life. Your essay should include specific examples of how goal-setting has impacted your success and personal growth, as well as any challenges or obstacles you have faced along the way. Use a clear and concise writing style, and consider incorporating relevant quotes or statistics to support your arguments. Additionally, be sure to include a strong introduction and conclusion that effectively summarize your main points and leave a lasting impression on readers.",1
"The global commercial aircraft aftermarket parts market size is estimated to reach USD 51.14 billion by 2026 growing at a CAGR of 6.6% during the forecast period, according to a new study published by Polaris Market Research. The report �Commercial Aircraft Aftermarket Parts Market Share, Size, Trends, & Industry Analysis Report, By Product Type (MRO parts, Rotable Replacement Parts, Others); By Aircraft Type (Wide Body Aircraft, Narrow Body Aircraft, and Regional Jet); By Region: Segment Forecast, 2018 � 2026� provides an extensive analysis of present market dynamics and predicted future trends. In 2017, the MRO parts segment dominated the global commercial aircraft aftermarket parts industry, in terms of revenue. In 2017, North America accounted for the majority share in the global market.
What are the dominant product types and aircraft types in the global commercial aircraft aftermarket parts industry, and which region accounts for the majority share of the market?",1
"Develop a mobile application, utilizing the Google Maps Application Programming Interface, which exhibits a list of restaurants that are in close proximity to the user's current location along with the respective ratings of each restaurant. The app must have a sleek design and incorporate a user-friendly interface for effortless navigation. Furthermore, it should be optimized for both iOS and Android operating systems.",1
Can you tell me about the traditional music and dance of Southern European countries?,1
Could you suggest some tips and tricks for baking a perfect chocolate cake?,1
"Write a character-driven short story that essentially deals with the theme of social media addiction and delve into the psychological effects that it could have on young minds. Pay close attention to the character arc of the protagonist, portraying how their mental health takes a hit as they struggle to cope with the pressures and the incessant demands of the virtual world. You can depict the impact of social media addiction on various aspects of their life, including their relationships, academics, and self-esteem. Use descriptive language and vivid imagery to make the reader connect with the character on an emotional level.",1
"Develop a beginner level online course on how to learn a new language with a focus on building vocabulary, practicing grammar, and mastering pronunciation. Incorporate interactive activities such as quizzes, games, and audio exercises to engage learners and reinforce concepts. Emphasize practical conversation skills and provide resources for accessing authentic language materials. Utilize a clear and easy-to-follow instructional style with demonstrations from a native speaker. Provide periodic assessments to track progress and tailor learning objectives based on individual needs.",1
How have mountain communities adapted to living at high altitudes?,1
"Create a new marketing campaign that targets high-end audiences for a new line of luxury watches that has distinctive features and design. Ensure that the campaign includes compelling visual content, engaging copy, and an elegant style that represents the sophistication and exclusivity of the brand. The campaign should leverage multiple platforms such as social media, print, and events, with a focus on building brand awareness and driving sales. Additionally, the campaign should incorporate influencer partnerships and collaborations to create buzz and increase reach.",1
"Prepare an agenda and schedule a date and time for a meeting where the marketing team will discuss the goals, target audience, budget, strategies, and timeline for the implementation of the new marketing campaign. Make sure to invite all relevant team members and prepare any necessary presentation materials ahead of time.",1
"Write a 500-word fictional story in third person omniscient point of view about a middle-aged man named Tom who sets out for a solo hike in the Appalachian Mountains, but gets lost due to a sudden storm. Incorporate themes of survival, resourcefulness, and inner strength in the story. Use vivid descriptions and sensory details to create an atmospheric setting and build tension. End the story with a realistic resolution that reflects the character's growth and transformation.",1
"stitching headlights through the scene.
today it’s pushing orange through a sieve of suffering grey.
So that’s two in a row which, though it doesn’t constitute a commitment of any sort from the writer, demonstrates at least some ability to follow through.
Today I woke William just after 6, to get ready for school, and then sat down to write this poem. He dressed and ate, and then came over with his toothbrush in his mouth, and looked at the sunrise and said ""Wooglw!"".
I could write a poem about the view from this flat every day. Can you continue the poem about the view from a flat that the writer mentioned?",1
"Here is a piece of text: HyperXآ®, a division of Kingstonآ® Technology Company, Inc., the independent world leader in memory products, today announced a new fierce look to its Predator DDR4 and DDR3 DRAM. The aggressive design offers greater heat dissipation to optimize reliability while the black aluminum heat spreader and black PCB complement the look of the latest PC hardware. HyperX Predator DDR4 DRAM delivers fast frequencies and low latencies with speeds up to 3333MHz matched with low CL15-CL16 latencies to keep enthusiasts and gamers in the lead. HyperX Predator DDR3 DRAM is available in speeds up to 2666MHz with low CL9-CL11 latencies for an overall faster system.
HyperX Predator DDR4 and DDR3 is 100-percent factory tested at speed and backed by a lifetime warranty, free technical support and legendary reliability. HyperX is the high-performance product division of Kingston Technology encompassing high-speed DDR4 and DDR3 memory, SSDs, USB Flash drives, headsets and mouse pads. Targeted at gamers, overclockers and enthusiasts, HyperX is known throughout the world for quality, performance and innovation. HyperX is committed to eSports as it sponsors over 30 teams globally and is the main sponsor of Intel Extreme Masters. HyperX can be found at many shows including Brasil Game Show, China Joy, DreamHack, gamescom and PAX.

Based on the text material above, generate the response to the following quesion or instruction: How is HyperX committed to eSports?",1
"Write a step-by-step guide for making a homemade pizza, including instructions on how to make the dough, choosing toppings, and baking the pizza. Use a conversational and user-friendly tone and provide helpful tips and tricks for achieving the perfect homemade pizza. Additionally, include variations for different dietary restrictions and preferences, such as gluten-free and vegetarian options. Provide clear measurements and cooking times for each step to ensure success for beginners.",1
"Create a 10-minute presentation that highlights the significance of engaging in self-reflection as a means of achieving personal growth. Organize your content to clearly communicate the benefits of self-reflection, such as enhancing self-awareness, making positive life changes, developing critical thinking skills, and improving relationships. Incorporate relatable examples to help your listeners grasp the concept and make sure to emphasize the practical application of self-reflection in real-life situations. Use an engaging and confident presentation style to convey your message effectively.",1
"Given the text: Everything's bigger in Texas. Claim a bigger stake.
Texas has a long and proud history of citizen involvement in establishing, influencing, and supporting the government.
So how exactly can you become more involved as a citizen of this state?
Observe politics in action. You can observe lawmaking from the House and Senate galleries. The architecture of the Capitol reflects the openness of the state business conducted inside. Stroll its wide corridors and open rotunda and view historic paintings, sculptures, and photographs.
Vote in local and state-wide elections. Register to vote, research issues you care about, learn about where your local and state-level officials stand on those issues, and then head to the polls!
Learn how Texas's past shapes our state's present and future by visiting the Bullock Texas State History Museum, located at 1800 Congress Avenue, just three blocks north of the Capitol.
Share your Texas story with the Texas Story Project. Texas history doesn't just belong to the textbooks. You are Texas history, and we want to hear your story.
How can you become more involved in Texas's government as a citizen?",1
Write instructions for playing the flute.,1
"Can you recommend any other minimalist towel shelves that are suitable for wet environments? Answer according to: If you require a traditional but minimalist shelf to store your towels, then our Options Traditional Towel Shelf is the perfect solution. It has an upper shelf for stacking your towels plus an additional rail underneath for hanging additional towels ready for use. This will be fine in a wet room. I would advise you to wipe any excess moisture when required Tony. Please could you assure me that it will not rust in a very steamy bathroom? Please also indicate its weight. Providing that there is the correct due care and attention paid to this item Chrissy, there will be no rust on this. The weight is approximately 1.8 kg. Please tell me the exact distance between the screws. Also, how many screws are there? Hi Keith, the distance between the screws is 170mm, there are 4 screws in total.",1
"How can the integration of IT systems with procurement in supply chains improve product ordering lead times and pricing provisions? Answer according to: Using the Internet, research information technology (IT) systems for supply chains.
-	Procurement - integration would allow for a clear line of sight into the negotiated terms and conditions, penalties and rewards, lead times for product ordering, as well as the locked pricing and related provisions.
This 200 word document outlines the cross functional team that Supply Chain would need to consider integrating IT systems with.",1
What is the traditional dress worn for a wedding in Greece?,1
"What kind of collaborative work is expected of the Art Teacher at The School of Arts and Sciences?
Generate according to: The School of Arts and Sciences, at 3208 Thomasville Rd, Tallahassee, FL is seeking applications for a Kindergarten-8th grade Art Teacher to teach in a multi-aged classroom. Applicants should be able to plan and execute rigorous, teacher created, hands-on thematic and project based lessons. They will also implement and support instruction and assessment practices for a diverse group of students that reflect the Florida Standards and the principles of their Charter. Also, they will work collaboratively with a diverse group of school colleagues, parents, community members and others to support and implement the goals of the school. Portfolio assessment experience. Salary and benefits commensurate with education and experience; eligible for benefits.
If interested, please submit a resume and cover letter with SAST ART TEACHER in the subject line by May 11, 2018 to Eirin Lombardo, Principal at lombardoe@leonschools.net.",1
"Write a classic-style western story that takes place in the late 1800s about a group of determined cowboys who must band together to save their beloved ranch from being seized by the nefarious bank through whatever means necessary. Add in plenty of tense showdowns, riveting horseback chases, close-knit camaraderie, and authentic Old West details to immerse the reader in the era.",1
"Write a letter to someone you admire, expressing your appreciation for their work.",1
What are the top travel destinations in Europe for budget-conscious travelers?,1
"❶Writers Experienced writers with the highest satisfaction rates.
Lots of people wonder if striving for excellent grades in college affects the rest of their life at all. Which is more likely to make you a millionaire? If a college degree costs a fortune and sometimes has a questionable ROI, you might be tempted to forego school and play the lottery instead. Should College Education be Free? One of the most expensive things most people will ever pay for is a college education.
Gone are the days when people could live comfortably with a high school education, and the competition for jobs is fierce. How to Stay Happy in the Cold Season. Fall is almost upon us, and with that comes the shortening of days and frigidity in the air.
Gone are those long, hot, and sunny summer days, and people are often left depressed in its wake. Comprehensive reviews combined with consistent feedback allow us to make sure our staff delivers great papers, without fail.
Once you buy custom essay from us, you get access to your customer profile, real-time order tracking and messaging system. We operate non-stop so you can get the help you need anytime. Some may also be new in the field. If you add this to inadequate research, the final paper that you create might not meet the expected standards.
The huge workload that students have to deal with is another impediment to writing a presentable paper. Imagine a situation where you have to handle loads of writing assignments from your instructors, attend classes as required and still write the essay.
With all the work, the student may not have time to prepare and write a good essay. Furthermore, writing essays may sometimes seem boring to students. They see their colleagues enjoying their free time and feel that the work may be preventing them from doing what they love. They end up postponing the work until it is late and the deadline for submission is almost reaching. As a result, they may end up writing a poor paper or failing to submit the paper on time. The consequences may be dire, ranging from receiving a poor grade to getting penalized.
There are online essay writer agencies out there that claim they can help students with writing their essays. However, most of them are just trying to make money from unsuspecting students. They either produce plagiarized essays or in some cases do not deliver any paper at all.
In other circumstances, they leak out your information to unauthorized individuals putting your further academic career at risk. When your instructor knows that you were assisted in writing the essay, you can even be discontinued from your course.
Such a turn of events may be very devastating. Fortunately, you do not have to go through all these problems when decided to rely on our company.
You already have too many things to handle. All these engagements that may not be related to your essay may have a negative bearing on the quality of the essays you write.
We are ready to get the burden off your back and make your academic life easier. One of the benefits of hiring our services is that we provide high-quality papers. Our writers ensure that your papers meet the quality standards expected. With our custom essay writing service, we aim at satisfying the needs of the clients. The essay you receive is properly formatted, the language used is appropriate, the topic has been researched properly, and the overall outlook of the paper is impressive.
Producing a quality paper begins by following the instructions. Before we start writing your essay, we first look at the instructions that you have issued. They are thoroughly assessed such that when the essay is finally completed, you can confidently say that the paper meets all of the requirements.
Thirdly, we ensure timely delivery. In the academic circles, time is an important factor. You must submit the job given within the stipulated timelines. With this in mind, we work hard so that you can receive the paper when you want it. Even if you need the essay on short notice, give us your timeline, and we are glad to deliver. Depending on the topic, the education level and the topic of your paper, we deliver within 3 hours to 5 days.
What are the risks of hiring other online essay writer agencies, and how does your company ensure student privacy and academic integrity?",1
"Please write a comprehensive and step-by-step how-to guide explaining the process of installing a window, including tips for measuring and cutting the opening, types of sealant to use, tools needed, and safety precautions to take. The guide should be written in clear and concise language and contain diagrams or images to aid in understanding the steps.",1
Could you explore in more detail how one would go about comparing financial performance side-by-side or exploring individual companies using Company REFS online? Answer according to: Do you need valuation data for a listed company? Company REFS online is now freely available to ICAEW members. You can compare financial performance side-by-side or explore individual companies in more detail.,1
"Given the text: Tennessee Gov. Bill Haslam has appointed the Hon. Muecke Barker to a new advisory board for the University of Tennessee at Chattanooga.
Haslam recently appointed 20 members to new advisory boards for each of the four campuses within the University of Tennessee system (the University of Tennessee at Knoxville, the University of Tennessee at Chattanooga, the University of Tennessee at Martin, and the University of Tennessee Health Science Center).
The advisory boards were created under the UT FOCUS Act the General Assembly passed last session.
Barker is a member of the litigation section at Chambliss, Bahner & Stophel, where he concentrates on mediation, arbitration and alternative dispute resolution.
He began his service in the Tennessee Judicial System in 1983, when Gov. Lamar Alexander appointed him to become judge of the Circuit Court of the Eleventh Judicial District of Tennessee.
Barker was elected to two eight-year terms and was consistently the highest rated circuit court judge in the Chattanooga Bar Association’s bi-annual polls.
In 1995, he was appointed to the Tennessee Court of Criminal Appeals; Tennessee voters elected to keep him there in August 1996.
In 1998, Gov. Don Sundquist appointed Barker to the Tennessee Supreme Court. He was then elected to a full eight-year term. In 2005, Barker was unanimously chosen by his colleagues to become chief justice.
After being elected to a second eight-year term, Barker retired from the Supreme Court in September 2008. The Tennessee Chapter of the American Board of Trial Advocates subsequently named him Appellate Judge of the Year.
Haslam also select Chattanooga attorney Scott LeRoy of LeRoy Law Firm to serve on the advisory board.
Can you provide a brief summary of the UT FOCUS Act and the purpose of the new advisory boards for the University of Tennessee System?",1
